name,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-nov2g_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-sdemIelecIp0.02-lowv_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-sdemIelecIp0.04-lowv_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-sdemIelecIp0.06-lowv_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-sdemIelecIp0.08-lowv_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-sdemIelecIp0.1-lowv_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-sdemIheatIp0.02_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-sdemIheatIp0.04_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-sdemIheatIp0.06_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-sdemIheatIp0.08_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-sdemIheatIp0.1_2050.nc,sens_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-sdemItranIp0.1-wv2g_2050.nc
urban central resistive heater,2.438878172962412,2.3612916745349306,2.4102099838786146,2.3923151725550142,2.372147041394814,2.358904754427218,2.334177009804261,2.433602086397871,2.4367478109557865,2.4329152737281614,2.4371382047953665,2.4388550580478547,2.3274586852039456
urban central solar thermal,2.1431371996973485e-06,5.416908889752973e-07,7.620723715140551e-08,5.690313861170484e-08,6.030066582271711e-08,6.461291654466303e-08,1.4569074290967447e-07,3.470345431000121e-06,1.712829340333912e-06,2.2986702365924916e-06,3.147595526885665e-06,7.828678028197314e-07,6.291995192518643e-08
urban central solid biomass CHP,6.5462955976131616e-06,1.422970548975834e-06,3.552044719736277e-07,2.6057655141315933e-07,2.798313112674206e-07,3.3676228516941864e-07,6.119427263096229e-07,1.404110019650818e-05,6.396650793039321e-06,7.619581992674846e-06,1.158585914001744e-05,2.536356159077044e-06,3.0821008462171966e-07
urban central solid biomass CHP CC,25.556015524859195,25.58772141434403,25.57122390383578,25.574023466121808,25.59453624072921,25.60640459068571,25.59419913881035,25.619449947181117,25.637961065605978,25.65271764308048,25.64912402947445,25.638575635947113,25.575700051314605
urban central water tanks,19.644051451386243,20.208490765612744,19.543708328842097,19.529472554112697,19.452656146999733,19.419098480703404,19.350022895816316,19.609312960851508,19.603470050666154,19.609957456174595,19.682313533383354,19.698297203698626,19.26493984402111
urban central water tanks charger,0.011252531014637185,0.01211186771740729,0.01149614065218131,0.011540348462586487,0.011409027142995071,0.011136316819874417,0.011212603412170062,0.011463857744742874,0.011250217071605626,0.01111230378407146,0.010572400642975955,0.010492720023227028,0.011422025880180976
urban central water tanks discharger,0.005853428638454522,0.005994905072843928,0.005955106101630425,0.006004758829748188,0.005901637207966209,0.0058338434193096304,0.005724914907773865,0.005783017149655587,0.0053836339654911285,0.005504012409966039,0.005310348113023847,0.005237340347276539,0.005954793478710343
urban decentral air heat pump,37.01030439335817,37.135496099000505,37.007410355695825,37.01601079947715,37.03755593249751,37.040512703935526,37.02235693078875,37.05527074987523,37.165464369650884,37.22434500405044,37.30406854915593,37.37572451398739,37.08224740550166
urban decentral biomass boiler,8.634500381140727e-06,2.1163308427299504e-06,4.750561100171636e-07,3.4797751811294525e-07,3.6814291471245545e-07,4.416064952630898e-07,7.862760868791688e-07,1.841702941759702e-05,8.446367365463997e-06,9.979662352720003e-06,1.4928825559470657e-05,3.3636630399872084e-06,4.0587366053069807e-07
urban decentral gas boiler,9.74074093923743,9.57580352850263,9.650918011629043,9.58474101399446,9.50177953853611,9.468105427258832,9.454302736819983,9.36272336850043,9.101736658909566,8.963481139595304,8.815215609769432,8.723371570743769,9.633138787243348
urban decentral resistive heater,1.6204652428304294,1.6423810221492272,1.6315823855389215,1.6377079956199452,1.6470348049863561,1.6502830896934075,1.654555679735459,1.5892108638757811,1.5919613479365078,1.5797237461999531,1.5770672635499219,1.5536889170947255,1.6182519098839114
urban decentral solar thermal,1.6301957656170754e-06,3.881621209971142e-07,3.90432641705947e-09,4.173066423985662e-09,4.449815198226284e-09,2.4307916379970656e-09,1.1034681740909586e-08,2.725043154339111e-06,1.2907461524927852e-06,1.6902491319177445e-06,2.2268700120106835e-06,5.703681140476816e-07,5.481120842351096e-09
urban decentral water tanks,1.2100365951730974,1.2933859546439803,1.1745763752210416,1.1366118680436237,1.1013656540877017,1.0657660630978147,1.0409295311693283,0.988403341883191,0.7749384646463704,0.5808970617679128,0.41199558289113536,0.31040741739968974,1.1038943662125624
urban decentral water tanks charger,0.0015435821332085333,0.0016621766734776949,0.0014907761559550792,0.0014901158645490003,0.0014203628918567986,0.0013732396130160664,0.0013819464905219167,0.0011065767976404768,0.0007640533739727388,0.0004953032022679258,0.00031380910344198666,0.00022000359214494246,0.001452889755210843
urban decentral water tanks discharger,0.0011281333710755474,0.0012128809145788887,0.0010715456653087546,0.0010562963966631012,0.0010287200460027404,0.0010294162506445043,0.0010052514834845085,0.0007990037978173108,0.0005520638872324685,0.00034885915844324217,0.00023845403220702137,0.00016718074725884295,0.0010331143359391306
