,elec-Base,elec-p05,elec-p10,elec-p15,elec-p20,elec-p25,elec-p30,elec-p35,elec-p40,elec-p45,elec-p50,heat-Base,heat-p05,heat-p10,heat-p15,heat-p20,heat-p25,heat-p30,heat-p35,heat-p40,heat-p45,heat-p50,tran-Base,tran-p05,tran-p10,tran-p15,tran-p20,tran-p25,tran-p30,tran-p35,tran-p40,tran-p45,tran-p50
IE5 0,6408910.662664219,6408350.487926836,6405639.267050398,6395166.7065221,6367093.623217763,6317243.59644153,6243646.434038328,6151702.902315523,6045915.650327258,5923344.893417147,5783312.810678279,18554042.38521987,18552998.30362281,18546611.224605996,18528602.893156447,18493375.50825499,18422663.008741036,18303616.480129134,18116912.937292624,17838823.341633417,17450740.17123404,16935224.97723145,6080554.772285093,6079924.9716598205,6076014.184820044,6062840.149852356,6035444.28891039,5988823.292804667,5901459.989529648,5751586.367257774,5527192.515728405,5250277.968254277,4959790.091891997
IT0 0,85195522.63525492,85188489.09337422,85153914.33819371,85014480.2291339,84629505.61563426,83938708.98193322,82921167.09999128,81651416.90367846,80200259.81473505,78537043.05284706,76652788.89651167,202818202.79516768,202794982.8969865,202676346.4507095,202374708.00282788,201794721.408817,200683747.90463352,198864398.9813971,196079463.6977681,192015049.24708295,186436521.3405983,179180986.65396553,52702594.800219454,52696903.36341381,52662446.50171988,52546445.230658785,52302291.10447484,51884216.517754,51111924.80625087,49785526.623099715,47799814.64576548,45363089.760830924,42799724.67553959
IT6 0,5245113.810706341,5244677.845230661,5242527.283106133,5233921.439758839,5210400.225125376,5168568.167769781,5107161.216694158,5030544.560487664,4942813.563086971,4841960.323874368,4727482.382758455,5316383.468099893,5315661.699280721,5312147.276191707,5302841.678906302,5284795.257913198,5249914.627354272,5192779.917291931,5105963.486329387,4980679.845440511,4811296.973482478,4593598.915578408,1447632.143339171,1447480.1416984359,1446553.86513291,1443403.849213468,1436747.4040982393,1425314.52457318,1404181.7227865402,1367879.906298545,1313430.3904454084,1246471.598765241,1176000.7954498637
LT2 0,3105615.765896721,3105367.128520756,3104128.124423873,3099163.356447283,3085613.2165102116,3061420.4253339134,3025853.1897146655,2981364.9152377015,2930339.737979602,2871722.691200659,2805044.332921849,9330799.793344963,9329660.08820429,9324076.34773461,9309816.563788211,9282836.592620209,9231604.843397079,9148258.401826933,9022530.965115627,8842279.720989,8595421.276672933,8274320.60515165,3461340.6786068017,3460951.5907255556,3458675.1087146485,3451250.7172771795,3435513.665001154,3408414.8281970955,3358960.5432195496,3273770.052195171,3145560.4697231855,2988671.9896702403,2823344.5433161072
LU0 0,1219822.9591077256,1219726.9649415622,1219272.667490365,1217416.462782783,1212317.4119804425,1203139.644558093,1189521.27420223,1172424.5816191803,1152752.5242342874,1130016.7156103556,1104110.5463848321,4514987.8523889985,4514461.8439651,4511798.387833309,4504884.73626373,4491728.404915817,4466787.697148607,4426175.964196549,4364682.886062674,4276470.780476397,4156520.058886554,4001428.643398914,1513175.688365758,1513006.5436760532,1511990.069395781,1508609.2821512413,1501534.1615242416,1489458.510850014,1467196.700814238,1428950.3597139856,1371823.317659995,1301876.497384719,1228328.1805988373
LV2 0,2243500.9838946173,2243319.343432557,2242406.462444678,2238752.2446281263,2228774.026293995,2211008.3839853555,2184915.0216118605,2152272.5039670174,2114885.8710643784,2072051.885556722,2023452.45284433,9022334.119886339,9021329.200619314,9016282.458408535,9003365.955078833,8978953.356832264,8932458.559389472,8856796.633930596,8742374.619339172,8577978.07769716,8352391.552960843,8058506.983519185,1558842.7113102127,1558666.6414376094,1557638.5462892982,1554289.748526862,1547198.5728895017,1534996.8544869623,1512728.6376458074,1474360.6482139586,1416636.7597098602,1346005.9934172742,1271574.959754238
ME0 0,1105393.6778508432,1105313.5650464883,1104922.283075483,1103335.1333572294,1098985.5479238955,1091172.006675418,1079498.022742751,1064723.4802563773,1047513.3530233395,1027284.2312765341,1003868.5033201599,1012210.2214775998,1012118.7245368024,1011667.2719186264,1010486.233039265,1008212.6981038954,1003776.8763238356,996369.7639309108,984685.0451782845,967132.131686882,942387.8258502322,909537.4917222068,355548.57090100506,355509.6414661218,355274.3558212955,354487.9363827192,352834.6357564204,350008.1403046273,344793.52829181665,335838.8587561268,322442.4767011229,306019.7161832121,288748.54370191635
MK0 0,2336728.7142504193,2336567.054049533,2335766.803323653,2332625.687632601,2324062.5263622715,2308524.575354086,2285138.971716298,2255481.152501841,2220769.522715845,2179515.855341782,2131336.9776132554,2849484.7647786248,2849189.034635487,2847744.3264913443,2843993.772088855,2836823.2264998285,2822968.102084489,2799835.445552933,2763196.448166088,2707828.5004447075,2629132.3664218746,2524154.535443642,1014003.2005031299,1013894.2314339065,1013233.1880061682,1011007.3023043124,1006314.202073284,998276.2602164461,983432.8873585672,957943.3294994554,919768.2684207066,872913.7377282791,823625.3482471496
NL0 0,34393317.28292616,34390478.070666835,34376512.04714736,34321025.874355614,34169470.414062396,33898140.86570467,33497580.28845926,32996442.91366007,32421564.87253765,31760433.407868605,31008755.46837892,86569586.53150626,86558851.7906294,86505317.24159984,86368290.44496463,86109217.83004634,85620152.94067945,84828636.3154966,83642238.30093564,81956246.2378761,79676832.20322147,76747505.57604507,18321801.02335645,18319762.34242237,18307505.97010818,18266662.504603,18181098.332730696,18035022.978239536,17765664.94259669,17303010.81703182,16611738.71534355,15764995.782731388,14874577.396489771
NO1 0,27857422.19344447,27855281.438384414,27844981.501107268,27803288.873515874,27690413.97624606,27490238.248285282,27193675.002071347,26821371.070212983,26391453.51032769,25889941.79812496,25312364.724853855,38807692.36794081,38804349.40236131,38787644.16665503,38743187.76031504,38658730.00667958,38498437.3977654,38235817.14652477,37833354.897535756,37247152.50041131,36436534.19091431,35367347.8844126,4761714.38584844,4761179.226140178,4757938.123679934,4747248.954434501,4724907.313731069,4686869.300725383,4616814.153337851,4496424.321712429,4316687.349829696,4096748.4824794764,3865533.882933494
PL0 0,39314146.40971455,39311038.857787326,39295806.86955787,39235043.39499961,39068595.37610768,38769192.60131323,38324758.96517766,37766957.88573797,37125226.28207722,36383684.2123437,35536882.139663324,138670844.95568782,138654586.1472939,138575195.68684602,138369096.13283026,137976715.9530109,137227856.65826732,136001368.46040845,134131699.72326626,131428739.35566637,127737646.30084664,122945801.33135265,32840501.514482982,32836784.485411815,32814524.742891707,32740865.108712263,32586652.033732772,32323606.171866998,31838985.124358833,31007585.698431212,29766868.982349634,28248755.954839528,26652696.088709667
PT0 0,14086905.042038832,14085820.360001663,14080540.14344284,14058876.971124742,13999493.563469585,13892662.783247963,13733673.98925535,13534839.80991117,13306235.804733995,13041225.785461046,12737992.46566684,10572791.315017235,10572277.457898954,10569074.617051382,10558722.095515389,10538656.732350744,10498388.26803032,10428880.807229616,10319244.30052708,10152851.728566518,9917088.052517101,9598953.25650781,9688481.193607086,9687518.723304473,9681505.680760613,9660912.666019702,9617826.310917519,9544055.352888519,9405072.91907273,9166772.025489567,8809632.735330347,8368313.807562226,7905161.145882235
RO0 0,13730491.28559537,13729375.945894156,13723877.412753398,13702338.24962555,13644701.75443699,13543100.638631407,13393420.855772253,13205346.66249148,12988344.566568594,12736988.318987682,12449556.53895613,45576416.74187504,45571935.14559835,45550313.64488891,45494149.22102365,45386896.096830174,45177092.09588689,44824626.15887098,44267875.046551645,43428196.91617291,42236583.59078638,40650569.16667679,10292478.652912103,10291368.4795458,10284765.61684698,10262943.016790994,10216454.661208175,10136251.440301208,9989798.05573164,9737560.95481589,9356920.250579659,8890231.470542528,8398288.01626567
RS0 0,11682147.076734956,11681168.502028013,11676402.491854727,11657907.339802306,11608913.600574035,11523154.999514967,11396791.20831827,11238119.13304652,11053990.982827356,10837914.559800103,10588716.577861689,15809967.807083787,15808331.913761176,15800312.475968035,15779544.558777088,15740011.490046225,15662976.2977387,15534287.579133322,15330080.959336778,15021372.424703311,14584348.660754628,14003228.509750657,3025356.334035267,3025024.540592032,3023027.7506869766,3016341.3042811607,3002275.253525563,2978207.829954851,2933788.9216315127,2857569.6387347737,2743502.273775738,2603592.395729354,2456432.999192643
SE1 0,29316930.044660106,29314627.26897026,29303132.417191844,29257295.02487287,29134024.23568075,28916003.938976955,28594879.124729943,28192473.67506799,27729396.470852286,27193260.526816208,26580350.24583676,51132070.13816248,51127171.129441425,51103607.10356428,51041609.22942941,50923120.6016324,50698476.36058462,50332008.57983422,49770828.23803894,48954477.424980514,47825094.94593948,46334246.537925065,10760224.852825917,10759004.476377958,10751633.964018691,10727376.587718945,10676746.097568221,10590647.602274507,10432169.621706098,10159908.252985973,9753724.013951182,9256969.116477046,8734794.179186238
SI0 0,2299681.1602104614,2299509.013021522,2298658.1482223636,2295243.409261661,2285925.503354963,2269128.1707036407,2244100.8064898066,2212631.7561445376,2176376.022288475,2134409.7263706466,2086375.7270532511,7778095.337101538,7777252.477010187,7772907.612717997,7761575.241465975,7739949.952148506,7698191.279975702,7629349.808456191,7523413.0639081085,7367990.638483701,7153817.89326721,6873691.740045881,2917959.530544455,2917637.4735743683,2915694.8794263285,2909203.221391057,2895578.8812484136,2872302.844140415,2829370.273416346,2755677.4513595994,2645545.36771206,2510609.682276074,2368709.9669476673
SK0 0,6033425.123493646,6032992.013146371,6030841.319540853,6022112.774093155,5998042.605487468,5954530.139279951,5889644.234884463,5807893.321540687,5713554.834697541,5604034.852289521,5478387.780329616,17970778.267829925,17968783.57077001,17959128.58188647,17933846.551020876,17886327.086181663,17795167.049869597,17644977.339474943,17412713.915919915,17070850.69773926,16596620.88401705,15973580.11930463,4395211.140089013,4394717.317481726,4391749.776910444,4381913.422618457,4361314.119769758,4326171.918696025,4261422.864578778,4150339.0707128923,3984427.7783265356,3781297.2131886925,3567725.172644074
